frame_idx,timestamp,depth_raw_mm,depth_ema_mm,depth_kf_mm,depth_corr_mm,beta,gamma_boost,velocity_mm_s,motion_mm,gain,offset_mm,cos_tilt
0,1760755585445,0.11126008116335233,0.11126008116335233,0.11126008116335233,0.11682308522151995,0.2,1.05,0.0,0.0,1.0,0.0,0.9982476975505239
1,1760755585488,0.10970159494081914,0.10985744356307246,0.11001874188360011,0.11548338993291928,0.20284167593922026,1.0502842823952356,-0.00025511403042140023,0.0015584862225331841,1.0,0.0,0.9982476975505239
2,1760755585524,-0.3062029921557504,-0.2645969485838682,-0.22118994476282972,-0.27490710530742396,0.4,1.0772426142411304,-0.09450430133181306,0.41622173403935053,1.0,0.0,0.9982476975505239
3,1760755585555,0.26649645161293056,0.2133871115932507,0.1627716212096493,0.2219555069581367,0.4,1.0866240038576458,0.040499251620981835,0.4876863963757603,1.0,0.0,0.9982476975505239
4,1760755585581,0.051005565656134774,0.06724372024984636,0.07842277383290881,0.07378510238555154,0.4,1.0938274147832405,0.005384882240076154,0.11176605555351453,1.0,0.0,0.9982476975505239
5,1760755585622,-0.003595080027906879,0.003488799999868443,0.012139027822499898,0.006429923150570906,0.4,1.1,-0.025769956943855456,0.0820178538608157,1.0,0.0,0.9982476975505239
6,1760755585658,0.26696509983086286,0.24061746984776342,0.21425770160121574,0.25110623577618696,0.39102661598820354,1.0691390889571328,0.08094968513875878,0.25482607200836294,1.0,0.0,0.9982476975505239
7,1760755585685,0.11507093898642894,0.12762559207256238,0.137873904789864,0.13808327593368852,0.3724434210226123,1.0672601051969506,0.03502909930959041,0.0991867626147868,1.0,0.0,0.9982476975505239
8,1760755585727,-0.14398993046680783,-0.11682837821287083,-0.08752688680085252,-0.11993578867644637,0.4,1.0892152999398714,-0.10846541645852148,0.2818638352566718,1.0,0.0,0.9982476975505239
9,1760755585746,0.12233543326364066,0.09841905211598952,0.0767484572402671,0.10299155488971856,0.4,1.0843128387191379,0.006320040939810825,0.20986232006449318,1.0,0.0,0.9982476975505239
10,1760755585787,0.08882663878171435,0.08978588011514185,0.08832194521407108,0.09309972773785229,0.2272165980845452,1.0527282450400053,0.014633847890675627,0.012078181541447242,1.0,0.0,0.9982476975505239
11,1760755585817,-0.054960771897295035,-0.04048610669605135,-0.02575252669155495,-0.04117940725123608,0.4,1.1,-0.07440792195207059,0.14328271711136611,1.0,0.0,0.9982476975505239
12,1760755585850,0.03493775444076475,0.027395368327083145,0.021065829417568797,0.028870488309874348,0.4,1.0847613314349405,-0.03396421368468001,0.0606902811323197,1.0,0.0,0.9982476975505239
13,1760755585882,-0.09343848880694475,-0.08135510309354195,-0.06984637262626607,-0.08519580712530175,0.4,1.074575529273297,-0.11127572233063049,0.11450431822451354,1.0,0.0,0.9982476975505239
14,1760755585917,0.2470179062596083,0.21418060532429328,0.18153055723634198,0.22345571047968274,0.4,1.0757259646644275,0.11816960644767571,0.3168642788858744,1.0,0.0,0.9982476975505239
15,1760755585957,-0.2648615456396989,-0.2169573305432997,-0.17135008332328802,-0.22625599941897342,0.4,1.0838368373548142,-0.21563902507064242,0.44639210287604086,1.0,0.0,0.9982476975505239
16,1760755585988,0.010706585837239236,-0.01205980580081465,-0.030904769718553743,-0.01568625024586021,0.4,1.1,-0.07254269444576389,0.18205666916052726,1.0,0.0,0.9982476975505239
17,1760755586022,0.011807447353631007,0.009420722038186441,0.004587551153679946,0.008223060597026408,0.4,1.1,-0.03460090490770398,0.04271221707218475,1.0,0.0,0.9982476975505239
18,1760755586056,-0.32861647304303976,-0.29481275353491715,-0.2611234489061677,-0.30842263190339053,0.4,1.070463442100531,-0.30716640609404455,0.3332040241967197,1.0,0.0,0.9982476975505239
19,1760755586081,-0.17752911408938332,-0.1892574780339367,-0.19852299909421478,-0.2037947886544921,0.29452001088339946,1.0595555576361693,-0.23012566184285993,0.08359433481678435,1.0,0.0,0.9982476975505239
20,1760755586119,-0.34660475877387475,-0.33087003069988097,-0.3168128459487463,-0.344447285458938,0.2859717120205124,1.0587546456848789,-0.3499432951727193,0.14808175967965997,1.0,0.0,0.9982476975505239
21,1760755586155,-0.2854695540535573,-0.2900096017181896,-0.294343274011873,-0.30768476800833705,0.22242728222754854,1.0523832018749175,-0.31216367147250135,0.03134329189518903,1.0,0.0,0.9982476975505239
22,1760755586190,-0.3101318313483467,-0.30811960838533103,-0.3077401477029318,-0.3240283724295224,0.2106551133082042,1.0512075043510478,-0.31554004494973553,0.01578855733647372,1.0,0.0,0.9982476975505239
23,1760755586215,-0.014654343759584482,-0.04400087022215913,-0.07485220297135556,-0.055850365215311844,0.4,1.1,-0.035881538194427964,0.2930858039433473,1.0,0.0,0.9982476975505239
24,1760755586257,-0.03832331326126872,-0.03889106895735776,-0.043068159780008886,-0.04406113448920043,0.3906343093543829,1.0690646133286459,0.002627540461217874,0.03652888971008684,1.0,0.0,0.9982476975505239
25,1760755586291,0.3849655370785708,0.3425798764749779,0.2992626377420081,0.3577198329097794,0.4,1.0724823414977154,0.408153287543647,0.42803369685857967,1.0,0.0,0.9982476975505239
26,1760755586317,0.80944284116374,0.7627565446948638,0.7122402964979919,0.7910422126910877,0.32738855887218143,1.0631383315548257,0.8877237057943144,0.5101802034217319,1.0,0.0,0.9982476975505239
27,1760755586357,1.655468174522354,1.566197011539605,1.4736797700171276,1.6268810031078615,0.31661881187188673,1.062461643457555,1.7772494897026883,0.9432278780243621,1.0,0.0,0.9982476975505239
28,1760755586389,2.788187640025887,2.665988577177259,2.5388864428539364,2.7734166260291335,0.2988114137486705,1.0612372139665414,3.01349464816503,1.3145078700087596,1.0,0.0,0.9982476975505239
29,1760755586422,5.255641362778748,4.996676084218599,4.732355792830713,5.207387702455638,0.31180160987007355,1.0637053495379842,5.611530113281813,2.7167549199248118,1.0,0.0,0.9982476975505239
30,1760755586451,7.7056126896126464,7.434719029073242,7.15279848708973,7.771978516247196,0.2897849499727707,1.0627626229404936,8.409173207147704,2.9732568967819333,1.0,0.0,0.9982476975505239
31,1760755586484,10.192149005092238,9.916406007490338,9.638175287283456,10.40503778340581,0.27643248095834844,1.062680689877093,11.194315069462627,3.039350518002508,1.0,0.0,0.9982476975505239
32,1760755586516,12.737919714338306,12.455768343653508,12.181982764871012,13.11174540688457,0.26960464766177594,1.0632409936806184,13.956730920979425,3.0997444270548495,1.0,0.0,0.9982476975505239
33,1760755586556,15.546346745481383,15.237288905298595,14.94728143837136,16.082247755645074,0.26863767259220084,1.0644705506058363,16.903962992480572,3.3643639806103707,1.0,0.0,0.9982476975505239
34,1760755586586,18.259762128407008,17.957514806096167,17.683631293388885,19.00423560212357,0.26584018992902947,1.0654515513474703,19.705627454593888,3.312480690035647,1.0,0.0,0.9982476975505239
35,1760755586622,21.295345900320463,20.961562790898036,20.668243448330045,22.23289483460965,0.26800629641067164,1.0670264515844612,22.724048763098004,3.611714606931578,1.0,0.0,0.9982476975505239
36,1760755586653,24.99963347614766,24.5958264076227,24.241149289342083,26.14351853313166,0.27424222020715056,1.0693014000241443,26.393728896509344,4.331390027817616,1.0,0.0,0.9982476975505239
37,1760755586680,28.640878481780103,28.23637327436436,27.887889378514775,30.092629809734586,0.2757491824910193,1.07108264627367,30.017173387928764,4.39972919243802,1.0,0.0,0.9982476975505239
38,1760755586725,31.147004471529314,30.85594135181282,30.635907918629016,32.97335348144494,0.26940029558519113,1.0714819254312526,32.315324161629825,3.2591150930145396,1.0,0.0,0.9982476975505239
39,1760755586756,33.262676481536914,33.0220029685645,32.875646367621265,35.34964866211594,0.2665694125861981,1.0718895381174802,33.850215241912124,2.6267685629078983,1.0,0.0,0.9982476975505239
40,1760755586781,35.99631822102185,35.69888669577612,35.50940275869036,38.25181254713071,0.27110604432311086,1.073240766136637,35.844803787390646,3.1206718534005873,1.0,0.0,0.9982476975505239
41,1760755586825,36.807313813202676,36.69647110146002,36.69733833869412,39.37788287078701,0.26080592847484,1.0722066326117625,35.8356439206185,1.2979110545123191,1.0,0.0,0.9982476975505239
42,1760755586858,37.535620851629155,37.451705876612245,37.500899385275176,40.19686769471523,0.25743827622858817,1.0716353313384346,35.31445270127936,0.838282512935038,1.0,0.0,0.9982476975505239
43,1760755586881,38.09532238325281,38.030960732588746,38.103272910475035,40.80794999141235,0.25493997575822747,1.0710397761774821,34.54617467035417,0.594422997977631,1.0,0.0,0.9982476975505239
44,1760755586923,38.664185942847276,38.60086342182142,38.673934014870945,41.3997672600442,0.25355324357231107,1.0705508593154298,33.767855462663796,0.5609130323722411,1.0,0.0,0.9982476975505239
45,1760755586953,38.40811363682326,38.427388615323075,38.58069217447279,41.21278956417394,0.24958088377501758,1.0694170969207766,32.131130096166174,0.2658203780476853,1.0,0.0,0.9982476975505239
46,1760755586993,37.893081460548714,37.94651217602615,38.13701090652086,40.68146247551349,0.2487687044114671,1.0684187172683652,30.092992949374413,0.687610713924073,1.0,0.0,0.9982476975505239
47,1760755587020,37.405449861487035,37.45955609294094,37.64728327676499,40.11516963774261,0.2460324844292148,1.0672395374520558,28.080642242520494,0.7315610450338212,1.0,0.0,0.9982476975505239
48,1760755587055,36.062652650186756,36.20234299446217,36.46828844537174,38.76905172732408,0.24662545882439924,1.0660137209300586,25.224833439152448,1.5846306265782317,1.0,0.0,0.9982476975505239
49,1760755587087,34.45615843788881,34.63077689354615,34.92991684256691,37.05505314762542,0.24469054000981683,1.0643724070357043,22.00745118827254,2.0121300074829307,1.0,0.0,0.9982476975505239
50,1760755587117,32.40233667120489,32.62518069343902,32.96450381823941,34.881915990513164,0.24313010258341738,1.0625716747023757,18.352587653408502,2.5275801713620183,1.0,0.0,0.9982476975505239
