frame_idx,timestamp,depth_raw_mm,depth_ema_mm,depth_kf_mm,depth_corr_mm,beta,gamma_boost,velocity_mm_s,motion_mm,gain,offset_mm,cos_tilt
0,1760144490.7739859,-0.45129281924595716,-0.45129281924595716,-0.45129281924595716,-0.47385746020825503,0.2,1.05,0.0,0.0,1.0,0.0,0.9993775061730609
1,1760144490.8071249,-0.23639938996551169,-0.25788873289355624,-0.28012951291086347,-0.28139723879479567,0.38185739678367603,1.0682015691721598,0.03517665287133667,0.21489342928044547,1.0,0.0,0.9993775061730609
2,1760144490.8346748,-0.4104120656913772,-0.39515973241159513,-0.3816949232449355,-0.41119765919461904,0.2634974125209812,1.0563524145442582,0.005940649244868375,0.13028255278051376,1.0,0.0,0.9993775061730609
3,1760144490.8730443,-0.12796376403416818,-0.15468336087191087,-0.18091037760002077,-0.17405997952932953,0.4,1.089701946887237,0.07589434157922872,0.2537311592107673,1.0,0.0,0.9993775061730609
4,1760144490.9043705,0.09060378465654337,0.06607507010369795,0.03786653819195984,0.06485758045557258,0.4,1.1,0.1644997679583094,0.2715141622565641,1.0,0.0,0.9993775061730609
5,1760144490.9408412,-0.2541950316707954,-0.22216802149334605,-0.19159041402146085,-0.23244898575046608,0.4,1.0730118616236168,0.05437082535131951,0.2920615698627552,1.0,0.0,0.9993775061730609
6,1760144490.9697466,-0.14171745775387606,-0.14976251412782307,-0.15436185182369921,-0.15955770340393172,0.2704926358943971,1.057082109815729,0.07299161397624462,0.049872956267584784,1.0,0.0,0.9993775061730609
7,1760144491.002792,-0.2136306225948621,-0.2072438117481582,-0.20089787180827887,-0.21549759486420855,0.2555537242537225,1.055575422967194,0.04455675960416765,0.05926877077116288,1.0,0.0,0.9993775061730609
8,1760144491.0385938,-0.07724925041219881,-0.09024870654579474,-0.10274984874001306,-0.10014570657073307,0.4,1.0820759505130475,0.10577703404289146,0.12364862139608006,1.0,0.0,0.9993775061730609
9,1760144491.0692077,-0.16422761425726026,-0.1568297234861137,-0.150244252583752,-0.1629539902424415,0.2749748612285794,1.0575293888342026,0.07089491409897389,0.06147776551724721,1.0,0.0,0.9993775061730609
10,1760144491.1062877,-0.32274952879235946,-0.3061575482617349,-0.288093241593465,-0.316866361450931,0.30694451576417814,1.060708713773912,-0.031693772208980606,0.17250527620860745,1.0,0.0,0.9993775061730609
11,1760144491.1415193,-0.37253881665324406,-0.3659006898140932,-0.35715472568097995,-0.38063207283491607,0.2454618846489747,1.0545842358019382,-0.08454963786796642,0.08444557505977907,1.0,0.0,0.9993775061730609
12,1760144491.1661274,-0.18549620052091306,-0.2035366494502311,-0.221336452303788,-0.2217548706733936,0.3851231481487738,1.0685254482225726,0.029185350433346927,0.17165852516006688,1.0,0.0,0.9993775061730609
13,1760144491.1997514,0.06410822339518307,0.037343736110641665,0.008062269776054759,0.033528716346076695,0.4,1.1,0.22588770123819335,0.2854446756989711,1.0,0.0,0.9993775061730609
14,1760144491.2419357,-0.14499190582378918,-0.1267583416303461,-0.11060555505618376,-0.13321196971540988,0.4,1.0711793789344546,0.1123754204534627,0.15305417559984394,1.0,0.0,0.9993775061730609
15,1760144491.2694046,-0.4877551659575052,-0.45165548352478924,-0.41257959874114547,-0.4680617231327854,0.3549072267445619,1.0655688556585,-0.17362885343027606,0.37714961090132143,1.0,0.0,0.9993775061730609
16,1760144491.3019655,-0.12943388795176028,-0.16165604750906318,-0.19071517723273246,-0.18178902769373598,0.4,1.0937792814556377,0.04702717184845509,0.2831457107893852,1.0,0.0,0.9993775061730609
17,1760144491.3431416,-0.20547619638718354,-0.2010941814993715,-0.1997433390016835,-0.21131436068450932,0.21442218369918306,1.0514586085702855,0.036422667482460834,0.014761019154451077,1.0,0.0,0.9993775061730609
18,1760144491.376633,-0.21973282723658333,-0.21786896266286213,-0.21568439216619753,-0.2277927096041554,0.21822239723937215,1.0518306764402094,0.01874825838254285,0.01998948823489982,1.0,0.0,0.9993775061730609
19,1760144491.4062755,-0.24530316273685887,-0.2425597427294592,-0.23945633853260773,-0.25338774380148943,0.2241591919779712,1.052419094333181,-0.007055856408440447,0.02961877057066134,1.0,0.0,0.9993775061730609
20,1760144491.445885,-0.2135464029453196,-0.21644773692373354,-0.21906846492632193,-0.22925201084596183,0.2242891378673024,1.0524357907524318,0.015282146003179425,0.02590993558728813,1.0,0.0,0.9993775061730609
21,1760144491.4748602,0.04843979743136205,0.021951043995852498,-0.00514398076355424,0.017918483565853505,0.4,1.1,0.25148824793905983,0.267508262357684,1.0,0.0,0.9993775061730609
22,1760144491.5077293,0.1697583513774118,0.15497762063925588,0.13789636045677162,0.1613137813280371,0.4,1.0708479988334518,0.4034742546927037,0.17490233214096604,1.0,0.0,0.9993775061730609
23,1760144491.5432549,-0.24847107146210132,-0.2081262022519656,-0.1676890579336284,-0.2162263383950398,0.4,1.081121619462284,0.036923107957896606,0.3863674319188729,1.0,0.0,0.9993775061730609
24,1760144491.5740688,-0.049933217158785875,-0.06575251566810385,-0.07707353346747454,-0.07265699442346983,0.4,1.0972491641799986,0.14129286753646275,0.11775584077484252,1.0,0.0,0.9993775061730609
25,1760144491.6049538,-0.013595563143868825,-0.018811258396292326,-0.024827816819515458,-0.022368406884182488,0.4,1.1,0.19761846493853358,0.06347797032360572,1.0,0.0,0.9993775061730609
26,1760144491.63794,0.06384276782140988,0.05557736519963966,0.04728864280370763,0.05811223083482966,0.4,1.0779431497207568,0.27630653477874306,0.08867058464092534,1.0,0.0,0.9993775061730609
27,1760144491.6655388,0.07904634893516559,0.076699450561613,0.07443237134193997,0.08013639401163113,0.2807982530504455,1.0582139720275403,0.2981038277684187,0.03175770613145796,1.0,0.0,0.9993775061730609
28,1760144491.7074869,-0.15473073278797334,-0.1315877144530147,-0.10736268931228297,-0.13637152500256283,0.4,1.0796581880445635,0.062481741614647396,0.2291631041299133,1.0,0.0,0.9993775061730609
29,1760144491.7382886,-0.029165484853274744,-0.03940770781324874,-0.046793734197795096,-0.04371667790598566,0.4,1.1,0.13507987016763062,0.07819720445900823,1.0,0.0,0.9993775061730609
30,1760144491.7699194,-0.5289111957517187,-0.4799608469578718,-0.4309060621828146,-0.5004854299486976,0.3828328661706779,1.0684415588558458,-0.35171608617329725,0.48211746155392365,1.0,0.0,0.9993775061730609
31,1760144491.809532,-0.38494529357641977,-0.39444684891456494,-0.39984531241115684,-0.4173456291494891,0.22432556968894765,1.0525665113717437,-0.29767645077517363,0.04596076860639481,1.0,0.0,0.9993775061730609
32,1760144491.842672,-0.061966211183858144,-0.09521427495692882,-0.1304452115703797,-0.11335897255734818,0.4,1.1,0.05779332304405399,0.3378791012272987,1.0,0.0,0.9993775061730609
33,1760144491.8745933,1.8218303402950613,1.6301258787698623,1.4332131466202502,1.7041037794350142,0.4,1.0726673760239887,2.0589401404943377,1.952275551865441,1.0,0.0,0.9993775061730609
34,1760144491.902022,4.711911238377176,4.403732702416446,4.078904455602906,4.58734880533522,0.3472389561345571,1.067145678051281,5.381738750722134,3.278698091756926,1.0,0.0,0.9993775061730609
35,1760144491.9395947,6.146263827018177,5.972010714558004,5.780232411291919,6.241734473406771,0.2783049247568694,1.0611403529734469,7.35524555057777,2.0673593714152707,1.0,0.0,0.9993775061730609
36,1760144491.9745214,8.091889207493615,7.879901358200055,7.6724178156110465,8.264448061279511,0.2713881225407765,1.061414704073714,9.501981821414063,2.3116567962016967,1.0,0.0,0.9993775061730609
37,1760144492.0055156,11.644095764707178,11.267676324056465,10.900949314092767,11.835497352026506,0.28819054965589036,1.0648108560165275,13.315113446530017,3.971677949096131,1.0,0.0,0.9993775061730609
38,1760144492.0395937,14.354159393888287,14.045511086905105,13.743475050238454,14.80997026409515,0.2728190311025232,1.0646932882379754,16.469744728273618,3.45321007979552,1.0,0.0,0.9993775061730609
39,1760144492.0720186,18.95309299004366,18.462334799729803,17.996081037831193,19.518887635448444,0.2870130574364692,1.0683130831396608,21.359505324475265,5.209617939805208,1.0,0.0,0.9993775061730609
40,1760144492.1039238,22.993148265472783,22.540066918898486,22.11166230912151,23.92276101755725,0.282269316904174,1.0698680152286035,25.86907452930248,4.99706722764159,1.0,0.0,0.9993775061730609
41,1760144492.1349065,26.86247691948738,26.430235919428494,26.043894967793122,28.152066027198742,0.28029586335349244,1.0715069312538246,29.949655374389515,4.750814610365872,1.0,0.0,0.9993775061730609
42,1760144492.1663215,30.17238622336633,29.79817119297255,29.490153798156825,31.83588457506915,0.2771855412523036,1.0726644095174502,33.213011982710654,4.128491255573209,1.0,0.0,0.9993775061730609
43,1760144492.2034097,34.229608320290666,33.786464607558855,33.43006937264474,36.179682964601746,0.2831914130604316,1.0749689252313475,36.999519834009405,4.73945452213384,1.0,0.0,0.9993775061730609
44,1760144492.2403424,37.77202724480672,37.37347098108194,37.07065291223712,40.11802063456577,0.2833278629140756,1.0764340447334992,40.22501876020383,4.341957872161984,1.0,0.0,0.9993775061730609
45,1760144492.2679765,40.16541040955393,39.886216466706735,39.72145106377018,42.90241218325424,0.2783862349832552,1.0767314752485013,41.984115000390304,3.094757497316806,1.0,0.0,0.9993775061730609
46,1760144492.3025577,41.6053643488785,41.43344956066132,41.39853543341795,44.618763174289214,0.27259259686056736,1.0763202065241837,42.357659640282364,1.8839132851083207,1.0,0.0,0.9993775061730609
47,1760144492.3427057,42.805582443078706,42.66836915483697,42.68424119522278,45.96219194888723,0.269855406196654,1.0759699239576774,42.18751852891543,1.407047009660758,1.0,0.0,0.9993775061730609
48,1760144492.3749862,42.20648760292419,42.252675758115465,42.45795365962034,45.53818743634208,0.2622386533658507,1.0742162952634284,39.98317761520728,0.4777535922985905,1.0,0.0,0.9993775061730609
49,1760144492.4013863,42.734628727531344,42.68643343058975,42.80977034038945,45.92781983823731,0.25927980385949967,1.0733234659942725,38.65663468516097,0.2766750679110075,1.0,0.0,0.9993775061730609
50,1760144492.44016,42.064080210659064,42.126315532652136,42.34655198871802,45.322680952262814,0.25797218380564524,1.0721252247631243,36.284458627910496,0.7456901297303844,1.0,0.0,0.9993775061730609
51,1760144492.4734657,40.918970038865325,41.03970458824401,41.320714544196406,44.12954024764439,0.2568581449089345,1.0706499766611235,33.25369371162234,1.4275819498526943,1.0,0.0,0.9993775061730609
52,1760144492.509948,39.47776262546363,39.63395682174167,39.946094070226444,42.569695882547244,0.25416141246627905,1.0688635675396188,29.883169539979516,1.8429519187327728,1.0,0.0,0.9993775061730609
53,1760144492.5397456,37.868927457115866,38.04543039357845,38.36889205605569,40.803231830122286,0.2505501118365059,1.0669289561861697,26.386544450042138,2.0771666131105775,1.0,0.0,0.9993775061730609
54,1760144492.5731826,35.5730530883643,35.82029081888572,36.20307094386844,38.386208616447284,0.24908571396474238,1.064918628120986,22.244570498914552,2.7958389676913953,1.0,0.0,0.9993775061730609
55,1760144492.6038063,30.733546212124246,31.242220672800393,31.87890490120135,33.56510010355901,0.258616575345866,1.0627686735185136,15.348924408726266,5.469524731744194,1.0,0.0,0.9993775061730609
56,1760144492.639358,26.061473058280825,26.57954781973278,27.228338995317856,28.529318022272864,0.2571184691951044,1.0594542116130707,8.316365985689414,5.817431842920524,1.0,0.0,0.9993775061730609
57,1760144492.674406,20.096713098992208,20.744996571066263,21.499780108767673,22.326803526784378,0.2711662147118485,1.0571745696206274,0.12877366542810975,7.131625896325648,1.0,0.0,0.9993775061730609
58,1760144492.6979518,14.220687617159545,14.873118512550217,15.61340968390149,16.16191465317465,0.3142339095698566,1.064981580656503,-7.907088221149534,7.279092491608129,1.0,0.0,0.9993775061730609
