pair_id,pressure_idx,vision_idx,pressure_t_ms,vision_t_ms,dt_ms
0,907,250,9070.0,2500.0,-6570.0
1,1385,316,13850.0,3160.0,-10690.0
2,1420,378,14200.0,3780.0,-10420.0
3,1448,437,14480.0,4370.0,-10110.0
4,1529,494,15290.0,4940.0,-10350.0
5,1595,554,15950.0,5540.0,-10410.0
6,1656,613,16560.0,6130.0,-10430.0
7,1717,670,17170.0,6700.0,-10470.0
8,1778,730,17780.0,7300.0,-10480.0
9,1834,791,18340.0,7910.0,-10430.0
10,1892,850,18920.0,8500.0,-10420.0
11,1950,906,19500.0,9060.0,-10440.0
12,2010,964,20100.0,9640.0,-10460.0
13,2072,1020,20720.0,10200.0,-10520.0
14,2130,1080,21300.0,10800.0,-10500.0
15,2184,1140,21840.0,11400.0,-10440.0
16,2246,1194,22460.0,11940.0,-10520.0
17,2301,1252,23010.0,12520.0,-10490.0
18,2362,1311,23620.0,13110.0,-10510.0
19,2418,1367,24180.0,13670.0,-10510.0
20,2472,1422,24720.0,14220.0,-10500.0
21,2529,1560,25290.0,15600.0,-9690.0
22,2583,1595,25830.0,15950.0,-9880.0
