pair_id,pressure_idx,vision_idx,pressure_t_ms,vision_t_ms,dt_ms
0,113,113,1767532692521.0,1767532692521.0,0.0
1,184,184,1767532693231.0,1767532693231.0,0.0
2,250,250,1767532693891.0,1767532693891.0,0.0
3,317,314,1767532694561.0,1767532694531.0,-30.0
4,381,381,1767532695201.0,1767532695201.0,0.0
5,446,447,1767532695851.0,1767532695861.0,10.0
6,515,514,1767532696541.0,1767532696531.0,-10.0
7,580,580,1767532697191.0,1767532697191.0,0.0
8,643,643,1767532697821.0,1767532697821.0,0.0
9,709,710,1767532698481.0,1767532698491.0,10.0
10,778,777,1767532699171.0,1767532699161.0,-10.0
11,843,843,1767532699821.0,1767532699821.0,0.0
12,911,910,1767532700501.0,1767532700491.0,-10.0
13,976,976,1767532701151.0,1767532701151.0,0.0
14,1046,1043,1767532701851.0,1767532701821.0,-30.0
15,1113,1107,1767532702521.0,1767532702461.0,-60.0
16,1176,1177,1767532703151.0,1767532703161.0,10.0
17,1242,1240,1767532703811.0,1767532703791.0,-20.0
18,1303,1303,1767532704421.0,1767532704421.0,0.0
19,1364,1364,1767532705031.0,1767532705031.0,0.0
20,1426,1426,1767532705651.0,1767532705651.0,0.0
21,1489,1490,1767532706281.0,1767532706291.0,10.0
22,1552,1556,1767532706911.0,1767532706951.0,40.0
23,1618,1618,1767532707571.0,1767532707571.0,0.0
24,1680,1686,1767532708191.0,1767532708251.0,60.0
25,1743,1755,1767532708821.0,1767532708941.0,120.0
26,1806,1817,1767532709451.0,1767532709561.0,110.0
27,1877,1880,1767532710161.0,1767532710191.0,30.0
28,1938,1951,1767532710771.0,1767532710901.0,130.0
29,2002,2012,1767532711411.0,1767532711511.0,100.0
