pair_id,pressure_t_ms,vision_t_ms,sync_dt_ms,interval_ms,rate_cpm
0,1767532692521.0,1767532692521.0,0.0,,
1,1767532693231.0,1767532693231.0,0.0,710.0,84.50704225352112
2,1767532693891.0,1767532693891.0,0.0,660.0,90.9090909090909
3,1767532694561.0,1767532694531.0,-30.0,670.0,89.55223880597015
4,1767532695201.0,1767532695201.0,0.0,640.0,93.75
5,1767532695851.0,1767532695861.0,10.0,650.0,92.3076923076923
6,1767532696541.0,1767532696531.0,-10.0,690.0,86.95652173913044
7,1767532697191.0,1767532697191.0,0.0,650.0,92.3076923076923
8,1767532697821.0,1767532697821.0,0.0,630.0,95.23809523809524
9,1767532698481.0,1767532698491.0,10.0,660.0,90.9090909090909
10,1767532699171.0,1767532699161.0,-10.0,690.0,86.95652173913044
11,1767532699821.0,1767532699821.0,0.0,650.0,92.3076923076923
12,1767532700501.0,1767532700491.0,-10.0,680.0,88.23529411764706
13,1767532701151.0,1767532701151.0,0.0,650.0,92.3076923076923
14,1767532701851.0,1767532701821.0,-30.0,700.0,85.71428571428571
15,1767532702521.0,1767532702461.0,-60.0,670.0,89.55223880597015
16,1767532703151.0,1767532703161.0,10.0,630.0,95.23809523809524
17,1767532703811.0,1767532703791.0,-20.0,660.0,90.9090909090909
18,1767532704421.0,1767532704421.0,0.0,610.0,98.36065573770492
19,1767532705031.0,1767532705031.0,0.0,610.0,98.36065573770492
20,1767532705651.0,1767532705651.0,0.0,620.0,96.7741935483871
21,1767532706281.0,1767532706291.0,10.0,630.0,95.23809523809524
22,1767532706911.0,1767532706951.0,40.0,630.0,95.23809523809524
23,1767532707571.0,1767532707571.0,0.0,660.0,90.9090909090909
24,1767532708191.0,1767532708251.0,60.0,620.0,96.7741935483871
25,1767532708821.0,1767532708941.0,120.0,630.0,95.23809523809524
26,1767532709451.0,1767532709561.0,110.0,630.0,95.23809523809524
27,1767532710161.0,1767532710191.0,30.0,710.0,84.50704225352112
28,1767532710771.0,1767532710901.0,130.0,610.0,98.36065573770492
29,1767532711411.0,1767532711511.0,100.0,640.0,93.75
