idx,host_ms,val_raw,val_filt
0,1765976594948,1669,1669
1,1765976594975,1736,1702
2,1765976595002,1308,1571
3,1765976595028,1798,1627
4,1765976595057,1545,1611
5,1765976595084,1430,1563
6,1765976595110,1814,1579
7,1765976595138,1511,1619
8,1765976595166,1536,1567
9,1765976595193,1950,1648
10,1765976595219,1423,1646
11,1765976595248,1616,1607
12,1765976595275,1832,1671
13,1765976595302,1346,1633
14,1765976595328,1822,1607
15,1765976595358,1703,1663
16,1765976595384,1363,1613
17,1765976595410,1862,1619
18,1765976595437,1461,1642
19,1765976595466,1425,1562
20,1765976595493,1985,1619
21,1765976595520,1380,1622
22,1765976595546,1629,1576
23,1765976595575,1984,1680
24,1765976595602,1390,1673
25,1765976595628,1815,1639
26,1765976595655,1613,1686
27,1765976595684,1412,1642
28,1765976595711,1915,1629
29,1765976595737,1551,1661
30,1765976595765,1417,1581
31,1765976595793,1912,1641
32,1765976595873,1998,1758
33,1765976595899,1412,1658
34,1765976595925,1550,1657
35,1765976595952,1966,1767
36,1765976595981,1400,1665
37,1765976596008,1686,1602
38,1765976596034,1767,1673
39,1765976596062,1388,1641
40,1765976596090,1848,1617
41,1765976596117,1580,1653
42,1765976596143,1452,1607
43,1765976596172,1842,1622
44,1765976596199,1448,1634
45,1765976596226,1556,1575
46,1765976596308,1688,1597
47,1765976596335,1841,1675
48,1765976596361,1386,1583
49,1765976596390,1804,1655
50,1765976596417,1617,1667
51,1765976596443,1387,1607
52,1765976596470,1886,1616
53,1765976596499,1471,1633
54,1765976596526,1497,1571
55,1765976596552,1972,1642
56,1765976596579,1395,1644
57,1765976596608,1648,1596
58,1765976596635,1811,1664
59,1765976596661,1363,1637
60,1765976596689,1731,1589
61,1765976596717,1645,1639
62,1765976596744,1387,1587
63,1765976596770,1874,1600
64,1765976596799,1483,1624
65,1765976596826,1462,1570
66,1765976596853,1958,1632
67,1765976596879,1390,1633
68,1765976596906,1536,1565
69,1765976596932,2004,1670
70,1765976596962,1425,1662
71,1765976596988,1713,1613
72,1765976597014,1850,1705
73,1765976597041,1386,1675
74,1765976597070,1855,1645
75,1765976597097,1582,1677
76,1765976597123,1491,1632
77,1765976597151,1816,1626
78,1765976597179,1488,1646
79,1765976597206,1465,1568
80,1765976597232,1935,1639
81,1765976597261,1334,1607
82,1765976597288,1568,1558
83,1765976597315,1717,1603
84,1765976597341,1374,1585
85,1765976597370,1618,1522
86,1765976597397,1556,1566
87,1765976597424,1322,1517
88,1765976597450,1772,1528
89,1765976597479,1495,1552
90,1765976597559,1369,1502
91,1765976597588,1475,1486
92,1765976597615,1745,1571
93,1765976597641,1331,1483
94,1765976597668,1685,1521
95,1765976597697,1548,1556
96,1765976597724,1328,1527
97,1765976597750,1871,1552
98,1765976597778,1448,1576
99,1765976597806,1469,1532
100,1765976597833,1920,1607
101,1765976597859,1352,1612
102,1765976597888,1516,1541
103,1765976597915,1819,1615
104,1765976597942,1293,1580
105,1765976597968,1670,1530
106,1765976597998,1632,1586
107,1765976598024,1373,1557
108,1765976598051,1754,1544
109,1765976598077,1470,1579
110,1765976598103,1295,1504
111,1765976598130,1774,1533
112,1765976598159,1440,1546
113,1765976598186,1443,1484
114,1765976598212,1983,1587
115,1765976598240,1373,1602
116,1765976598269,1570,1561
117,1765976598295,1830,1639
118,1765976598321,1324,1616
119,1765976598348,1557,1530
120,1765976598374,1760,1608
121,1765976598404,1310,1556
122,1765976598430,1790,1548
123,1765976598456,1585,1600
124,1765976598483,1337,1556
125,1765976598513,1864,1577
126,1765976598539,1398,1594
127,1765976598565,1447,1526
128,1765976598592,1904,1590
129,1765976598621,1346,1591
130,1765976598648,1566,1532
131,1765976598674,1752,1603
132,1765976598702,1334,1580
133,1765976598730,1799,1559
134,1765976598757,1504,1591
135,1765976598783,1410,1559
136,1765976598812,1810,1571
137,1765976598839,1465,1597
138,1765976598866,1491,1536
139,1765976598892,1933,1621
140,1765976598922,1372,1614
141,1765976598948,1613,1574
142,1765976598975,1819,1645
143,1765976599054,1799,1707
144,1765976599083,1427,1606
145,1765976599110,1774,1686
146,1765976599136,1554,1674
147,1765976599164,1339,1578
148,1765976599192,1862,1591
149,1765976599219,1403,1586
150,1765976599245,1475,1526
151,1765976599274,1918,1599
152,1765976599301,1402,1612
153,1765976599328,1637,1567
154,1765976599354,1842,1654
155,1765976599383,1401,1640
156,1765976599410,1771,1610
157,1765976599437,1633,1656
158,1765976599463,1354,1600
159,1765976599493,1790,1589
160,1765976599519,1463,1602
161,1765976599546,1450,1538
162,1765976599572,1924,1596
163,1765976599602,1390,1603
164,1765976599628,1614,1568
165,1765976599654,1766,1628
166,1765976599681,1362,1611
167,1765976599710,1799,1586
168,1765976599737,1604,1629
169,1765976599763,1349,1576
170,1765976599791,1821,1587
171,1765976599819,1486,1611
172,1765976599846,1470,1546
173,1765976599872,2010,1627
174,1765976599901,1442,1645
175,1765976599928,1601,1601
176,1765976599955,1840,1672
177,1765976599981,1398,1658
178,1765976600011,1667,1589
179,1765976600037,1596,1620
180,1765976600064,1345,1569
181,1765976600090,1763,1553
182,1765976600120,1516,1577
183,1765976600146,1416,1527
184,1765976600173,1861,1580
185,1765976600199,1390,1589
186,1765976600228,1501,1536
187,1765976600255,1704,1574
188,1765976600281,1368,1564
189,1765976600308,1657,1524
190,1765976600337,1597,1565
191,1765976600364,1315,1528
192,1765976600390,1775,1542
193,1765976600418,1512,1571
194,1765976600446,1418,1523
195,1765976600473,1887,1581
196,1765976600499,1390,1596
197,1765976600528,1453,1532
198,1765976600555,1802,1590
199,1765976600582,1314,1569
200,1765976600608,1613,1514
201,1765976600638,1697,1575
202,1765976600664,1291,1543
203,1765976600691,1788,1540
204,1765976600717,1471,1572
205,1765976600800,1333,1516
