idx,host_ms,val_raw,val_filt
0,1767152847734,46921,46921
1,1767152847793,47144,47032
2,1767152847813,47239,47101
3,1767152847833,47045,47087
4,1767152847853,47211,47112
5,1767152847873,47228,47173
6,1767152847893,47288,47202
7,1767152847912,47232,47200
8,1767152847932,47168,47225
9,1767152847952,47152,47213
10,1767152847972,47246,47217
11,1767152847992,47300,47219
12,1767152848011,47334,47240
13,1767152848031,47242,47254
14,1767152848051,47196,47263
15,1767152848071,47307,47275
16,1767152848090,47266,47269
17,1767152848110,47274,47257
18,1767152848130,47164,47241
19,1767152848150,47034,47209
20,1767152848169,47098,47167
21,1767152848189,47125,47139
22,1767152848209,47110,47106
23,1767152848229,47105,47094
