t_press_ms,t_vis_ms,dt_ms
1764658247694,1764658247610,84
1764658247694,1764658248646,-952
1764658248774,1764658248646,128
1764658248774,1764658249717,-943
1764658249854,1764658249717,137
1764658249854,1764658250724,-870
1764658250934,1764658250724,210
1764658250934,1764658251895,-961
1764658252014,1764658251895,119
1764658252014,1764658252983,-969
1764658253094,1764658252983,111
1764658253094,1764658254220,-1126
1764658254534,1764658254220,314
1764658254534,1764658255432,-898
1764658255614,1764658255432,182
1764658255614,1764658256839,-1225
1764658257054,1764658256839,215
1764658257054,1764658258186,-1132
1764658258494,1764658258186,308
1764658258494,1764658259470,-976
1764658259574,1764658259470,104
1764658259574,1764658260863,-1289
1764658261014,1764658260863,151
1764658261014,1764658262115,-1101
1764658262454,1764658262115,339
1764658262454,1764658263456,-1002
1764658263534,1764658263456,78
1764658263534,1764658264816,-1282
1764658264974,1764658264816,158
1764658264974,1764658266227,-1253
1764658266414,1764658266227,187
1764658266414,1764658267511,-1097
1764658267854,1764658267511,343
1764658267854,1764658268867,-1013
1764658268934,1764658268867,67
1764658268934,1764658270264,-1330
1764658270374,1764658270264,110
1764658270374,1764658271561,-1187
1764658271814,1764658271561,253
1764658271814,1764658272871,-1057
1764658273254,1764658272871,383
1764658273254,1764658274241,-987
1764658274334,1764658274241,93
1764658274334,1764658275591,-1257
1764658275774,1764658275591,183
1764658275774,1764658276868,-1094
1764658277214,1764658276868,346
1764658277214,1764658278152,-938
1764658278294,1764658278152,142
1764658278294,1764658279428,-1134
1764658279734,1764658279428,306
1764658279734,1764658280793,-1059
1764658280814,1764658280793,21
1764658280814,1764658281998,-1184
1764658282254,1764658281998,256
1764658282254,1764658283327,-1073
1764658283694,1764658283327,367
1764658283694,1764658284600,-906
1764658284774,1764658284600,174
1764658284774,1764658285819,-1045
1764658286214,1764658285819,395
1764658286214,1764658287072,-858
1764658287294,1764658287072,222
1764658287294,1764658288480,-1186
1764658288734,1764658288480,254
1764658288734,1764658289658,-924
1764658289814,1764658289658,156
1764658289814,1764658291049,-1235
1764658291254,1764658291049,205
1764658291254,1764658292305,-1051
1764658292694,1764658292305,389
1764658292694,1764658293599,-905
1764658293774,1764658293599,175
1764658293774,1764658294908,-1134
1764658295214,1764658294908,306
1764658295214,1764658296246,-1032
1764658296654,1764658296246,408
1764658296654,1764658297619,-965
1764658297734,1764658297619,115
1764658297734,1764658298895,-1161
1764658299174,1764658298895,279
1764658299174,1764658300399,-1225
1764658300614,1764658300399,215
1764658300614,1764658301574,-960
1764658301694,1764658301574,120
1764658301694,1764658302895,-1201
1764658303134,1764658302895,239
1764658303134,1764658304224,-1090
1764658304574,1764658304224,350
1764658304574,1764658305573,-999
1764658305654,1764658305573,81
1764658305654,1764658306893,-1239
1764658307094,1764658306893,201
1764658307094,1764658308290,-1196
1764658308534,1764658308290,244
1764658308534,1764658309664,-1130
1764658309974,1764658309664,310
1764658309974,1764658310937,-963
1764658311054,1764658310937,117
1764658311054,1764658312247,-1193
1764658312494,1764658312247,247
1764658312494,1764658313524,-1030
1764658313934,1764658313524,410
