t_press_ms,t_vis_ms,dt_ms
1764658497909,1764658497832,77
1764658498989,1764658498793,196
1764658500069,1764658499930,139
1764658501149,1764658501003,146
1764658502229,1764658502074,155
1764658503309,1764658503179,130
1764658504389,1764658504276,113
1764658505469,1764658505456,13
1764658506909,1764658506629,280
1764658507989,1764658507881,108
1764658509069,1764658509050,19
1764658510509,1764658510207,302
1764658511589,1764658511419,170
1764658512669,1764658512516,153
1764658513749,1764658513676,73
1764658514829,1764658514808,21
1764658516269,1764658515968,301
1764658517349,1764658517061,288
1764658518429,1764658518291,138
1764658519509,1764658519441,68
1764658520589,1764658520534,55
1764658522029,1764658521673,356
1764658523109,1764658522877,232
1764658524189,1764658524084,105
1764658525629,1764658525220,409
1764658526709,1764658526481,228
1764658527789,1764658527660,129
1764658529229,1764658528897,332
1764658530309,1764658530035,274
1764658531389,1764658531194,195
1764658532829,1764658532408,421
1764658533909,1764658533634,275
1764658534989,1764658534823,166
1764658536069,1764658536159,-90
1764658537509,1764658537160,349
1764658538589,1764658538427,162
1764658540029,1764658539610,419
1764658541109,1764658540843,266
1764658542189,1764658542157,32
1764658543629,1764658543293,336
1764658544709,1764658544542,167
1764658546149,1764658545829,320
1764658547229,1764658547058,171
1764658548669,1764658548340,329
1764658549749,1764658549561,188
1764658550829,1764658550758,71
1764658552269,1764658551992,277
1764658553349,1764658553237,112
1764658554789,1764658554503,286
1764658555869,1764658555758,111
1764658557309,1764658556966,343
1764658558389,1764658558299,90
