pressure_idx,vision_idx,tp_ms,tv_ms,dt_ms
62,48,1764658497909,1764658497832,-77
65,78,1764658498989,1764658498793,-196
68,110,1764658500069,1764658499930,-139
71,138,1764658501149,1764658501003,-146
74,169,1764658502229,1764658502074,-155
77,201,1764658503309,1764658503179,-130
80,232,1764658504389,1764658504276,-113
83,266,1764658505469,1764658505456,-13
87,298,1764658506909,1764658506629,-280
90,332,1764658507989,1764658507881,-108
93,364,1764658509069,1764658509050,-19
97,397,1764658510509,1764658510207,-302
100,429,1764658511589,1764658511419,-170
103,461,1764658512669,1764658512516,-153
106,492,1764658513749,1764658513676,-73
109,524,1764658514829,1764658514808,-21
113,556,1764658516269,1764658515968,-301
116,590,1764658517349,1764658517061,-288
119,624,1764658518429,1764658518291,-138
122,656,1764658519509,1764658519441,-68
125,688,1764658520589,1764658520534,-55
129,722,1764658522029,1764658521673,-356
132,757,1764658523109,1764658522877,-232
135,791,1764658524189,1764658524084,-105
139,826,1764658525629,1764658525220,-409
142,862,1764658526709,1764658526481,-228
145,895,1764658527789,1764658527660,-129
149,931,1764658529229,1764658528897,-332
152,966,1764658530309,1764658530035,-274
155,1000,1764658531389,1764658531194,-195
159,1036,1764658532829,1764658532408,-421
162,1070,1764658533909,1764658533634,-275
165,1103,1764658534989,1764658534823,-166
168,1138,1764658536069,1764658536159,90
172,1170,1764658537509,1764658537160,-349
175,1207,1764658538589,1764658538427,-162
179,1242,1764658540029,1764658539610,-419
182,1278,1764658541109,1764658540843,-266
185,1313,1764658542189,1764658542157,-32
189,1347,1764658543629,1764658543293,-336
192,1383,1764658544709,1764658544542,-167
196,1417,1764658546149,1764658545829,-320
199,1453,1764658547229,1764658547058,-171
203,1491,1764658548669,1764658548340,-329
206,1524,1764658549749,1764658549561,-188
209,1559,1764658550829,1764658550758,-71
213,1594,1764658552269,1764658551992,-277
216,1630,1764658553349,1764658553237,-112
220,1668,1764658554789,1764658554503,-286
223,1705,1764658555869,1764658555758,-111
227,1741,1764658557309,1764658556966,-343
230,1779,1764658558389,1764658558299,-90
