idx,mcu_ms,host_ms,val
0,49761,1764591430367,1269
1,50121,1764591430727,1289
2,50481,1764591431087,1270
3,50841,1764591431447,1299
4,51201,1764591431807,1325
5,51561,1764591432167,1316
6,51921,1764591432527,1294
7,52281,1764591432887,1284
8,52641,1764591433247,1291
9,53001,1764591433607,1250
10,53361,1764591433967,1265
11,53721,1764591434327,1305
12,54081,1764591434687,1314
13,54441,1764591435047,1327
14,54801,1764591435407,1298
15,55161,1764591435767,1349
16,55521,1764591436127,1385
17,55881,1764591436487,2375
18,56241,1764591436847,7514
19,56601,1764591437207,8521
20,56961,1764591437567,8147
21,57321,1764591437927,8378
22,57681,1764591438287,8329
23,58041,1764591438647,7997
24,58401,1764591439007,8139
25,58761,1764591439367,8486
26,59121,1764591439727,8631
27,59481,1764591440087,9164
28,59841,1764591440447,9330
29,60201,1764591440807,9137
30,60561,1764591441167,9951
31,60921,1764591441527,61283
32,61281,1764591441887,12823
33,61641,1764591442247,77388
34,62001,1764591442607,10863
35,62361,1764591442967,81051
36,62721,1764591443327,6750
37,63081,1764591443687,80080
38,63441,1764591444047,5239
39,63801,1764591444407,57822
40,64161,1764591444767,33567
41,64521,1764591445127,28377
42,64881,1764591445487,69725
43,65241,1764591445847,11997
44,65601,1764591446207,92046
45,65961,1764591446567,7761
46,66321,1764591446927,63804
47,66681,1764591447287,37936
48,67041,1764591447647,30356
49,67401,1764591448007,82085
50,67761,1764591448367,6347
51,68121,1764591448727,74667
52,68481,1764591449087,31371
53,68841,1764591449447,31833
54,69201,1764591449807,79129
55,69561,1764591450167,6841
56,69921,1764591450527,79423
57,70281,1764591450887,23957
58,70641,1764591451247,27822
59,71001,1764591451607,73465
60,71361,1764591451967,6360
61,71721,1764591452327,75872
62,72081,1764591452687,27688
63,72441,1764591453047,28304
64,72801,1764591453407,73744
65,73161,1764591453767,10600
66,73521,1764591454127,62040
67,73881,1764591454487,46354
68,74241,1764591454847,16691
69,74601,1764591455207,81357
70,74961,1764591455567,10196
71,75321,1764591455927,38563
72,75681,1764591456287,65816
73,76041,1764591456647,11063
74,76401,1764591457007,79598
75,76761,1764591457367,18178
76,77121,1764591457727,30483
77,77481,1764591458087,79425
78,77841,1764591458447,6986
79,78201,1764591458807,68018
80,78561,1764591459167,33329
81,78921,1764591459527,22510
82,79281,1764591459887,67562
83,79641,1764591460247,9109
84,80001,1764591460607,62398
85,80361,1764591460967,41935
86,80721,1764591461327,21980
87,81081,1764591461687,77569
88,81441,1764591462047,8910
89,81801,1764591462407,48487
90,82161,1764591462767,52302
91,82521,1764591463127,18117
92,82881,1764591463487,79791
93,83241,1764591463847,8147
94,83601,1764591464207,38899
95,83961,1764591464567,61625
96,84321,1764591464927,11704
97,84681,1764591465287,79317
98,85041,1764591465647,11897
99,85401,1764591466007,41914
100,85761,1764591466367,59179
101,86121,1764591466727,13202
102,86481,1764591467087,78470
103,86841,1764591467447,10308
104,87201,1764591467807,39666
105,87561,1764591468167,61108
106,87921,1764591468527,7279
107,88281,1764591468887,72911
108,88641,1764591469247,33987
109,89001,1764591469607,26144
110,89361,1764591469967,69481
111,89721,1764591470327,7859
112,90081,1764591470687,55080
113,90441,1764591471047,47777
114,90801,1764591471407,16171
115,91161,1764591471767,77344
116,91521,1764591472127,14829
117,91881,1764591472487,33714
118,92241,1764591472847,69208
119,92601,1764591473207,5964
120,92961,1764591473567,58454
121,93321,1764591473927,48880
122,93681,1764591474287,6588
123,94041,1764591474647,64656
124,94401,1764591475007,37064
125,94761,1764591475367,17413
126,95121,1764591475727,81021
127,95481,1764591476087,20050
128,95841,1764591476447,20449
129,96201,1764591476807,77994
130,96561,1764591477167,8828
131,96921,1764591477527,29048
132,97281,1764591477887,73412
133,97641,1764591478247,7386
134,98001,1764591478607,40710
135,98361,1764591478967,62689
136,98721,1764591479327,9987
137,99081,1764591479687,51285
138,99441,1764591480047,56730
139,99801,1764591480407,5593
140,100161,1764591480767,74545
141,100521,1764591481127,36841
142,100881,1764591481487,20009
143,101241,1764591481847,81761
144,101601,1764591482207,15596
145,101961,1764591482567,30319
146,102321,1764591482927,76166
147,102681,1764591483287,8482
148,103041,1764591483647,43925
149,103401,1764591484007,63968
150,103761,1764591484367,7386
151,104121,1764591484727,66999
152,104481,1764591485087,44787
153,104841,1764591485447,16566
154,105201,1764591485807,84879
155,105561,1764591486167,17987
156,105921,1764591486527,25336
157,106281,1764591486887,81460
158,106641,1764591487247,3220
159,107001,1764591487607,1504
160,107361,1764591487967,1602
161,107721,1764591488327,1445
162,108081,1764591488687,1089
163,108441,1764591489047,1029
164,108801,1764591489407,1078
165,109161,1764591489767,1156
166,109521,1764591490127,1178
167,109881,1764591490487,984
168,110241,1764591490847,1172
169,110601,1764591491207,1174
170,110961,1764591491567,1091
171,111321,1764591491927,1100
172,111681,1764591492287,889
173,112041,1764591492647,959
174,112401,1764591493007,856
175,112761,1764591493367,904
176,113121,1764591493727,936
177,113481,1764591494087,817
178,113841,1764591494447,768
179,114201,1764591494807,775
