occl_seq_id,cc_index_est,pred_depth_mm,vision_state,reason,timestamp
1,22,63.69952420411075,INVALID,invalid_depth,1764594038.8562973
2,23,64.32133012929543,INVALID,invalid_depth,1764594044.0162737
4,24,64.33061692646992,INVALID,invalid_depth,1764594047.2088008
5,27,64.31973612679533,INVALID,invalid_depth,1764594048.3058212
6,28,64.32737694312733,INVALID,invalid_depth,1764594049.2449055
7,29,64.33250547291026,INVALID,invalid_depth,1764594050.3236396
8,31,64.32224841334441,INVALID,invalid_depth,1764594051.4832745
9,33,64.30842217426748,INVALID,invalid_depth,1764594052.4601526
10,34,64.14642300713797,INVALID,invalid_depth,1764594053.4959314
11,35,64.29802650578857,INVALID,invalid_depth,1764594054.6012576
12,37,64.29173712635884,INVALID,invalid_depth,1764594055.6966207
13,38,62.96135145277182,INVALID,invalid_depth,1764594056.8278615
14,39,62.98687281888751,SOFT,static,1764594057.6325364
16,40,63.62506290680709,INVALID,invalid_depth,1764594058.9947972
17,41,63.18612313139973,INVALID,invalid_depth,1764594060.2192032
18,42,63.46334095750369,INVALID,invalid_depth,1764594061.2578056
19,43,63.282560282655645,INVALID,invalid_depth,1764594062.3907661
20,24,62.27821328840324,INVALID,invalid_depth,1764594063.5346487
21,25,62.20505681913668,INVALID,invalid_depth,1764594064.652804
22,26,62.11325398919474,INVALID,invalid_depth,1764594065.7413132
23,27,61.79009687483571,SOFT,static,1764594066.5227847
25,28,61.99241860141618,SOFT,static,1764594067.728609
27,29,62.931498119242924,INVALID,invalid_depth,1764594069.2385147
28,30,63.86228262054492,INVALID,invalid_depth,1764594069.8869717
