run,n_press_peaks,n_vis_peaks,n_pairs_clean,mean_dt,median_dt,std_dt,robust_std,recommended_tol_ms,offset_ms
1,52,52,52,217.44230769230768,207.5,103.65921039855789,64.4931,193.4793,200.0
2,52,53,52,192.42307692307693,168.5,118.67906073530231,83.0256,249.0768,180.0
3,50,50,50,198.64,192.0,104.16250255622467,67.4583,202.37489999999997,190.0
4,50,50,50,294.1,293.0,108.52484903073055,68.19959999999999,204.59879999999998,250.0
5,59,57,57,272.10526315789474,285.0,105.11552899591109,69.6822,209.04659999999998,260.0
6,50,51,50,190.94,206.0,109.55110819212396,71.9061,215.7183,170.0
7,61,59,59,294.10169491525426,306.0,106.61365877999424,62.2692,186.80759999999998,280.0
8,50,50,50,240.14,255.5,115.95953023818795,74.87129999999999,224.61389999999997,230.0
9,54,53,50,332.24,347.0,67.86648356763989,36.323699999999995,108.97109999999998,290.0
10,51,51,51,194.4313725490196,186.0,101.38328361262734,74.13,222.39,170.0
